LATITUDE,LONGITUDE,MODE,SEVERITY,YEAR,REPORTDATE,segment_id,FATAL_DRIVER,FATAL_BICYCLIST,FATAL_PEDESTRIAN,MAJORINJURIES_BICYCLIST,MAJORINJURIES_PEDESTRIAN,MAJORINJURIES_DRIVER,WARD,in_impact_zone,Zone
38.8950072560744,-77.02802769331497,vehicle,minor_or_property,2026,2026-02-05 17:15:00,12,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.90186695249349,-77.05074257892684,vehicle,minor_or_property,2026,2026-02-09 14:05:00,5,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.9013952244865,-77.04883147651492,vehicle,minor_or_property,2026,2026-02-13 00:32:00,3,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.89611400154633,-77.03170951458792,vehicle,minor_or_property,2026,2026-02-19 04:40:00,2,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.9021038004375,-77.05053433452537,vehicle,minor_or_property,2025,2025-10-17 20:00:00,5,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.89653320700657,-77.03196982203339,vehicle,minor_or_property,2026,2026-02-22 03:25:00,14,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89702888377953,-77.03196821127743,vehicle,minor_or_property,2026,2026-02-25 19:11:00,14,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89613339004325,-77.0296418573822,vehicle,minor_or_property,2026,2026-02-26 19:40:00,1,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.9014174504313,-77.04946829892108,vehicle,minor_or_property,2026,2026-02-24 20:50:00,1,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.902795683240434,-77.0508758882482,vehicle,minor_or_property,2026,2026-03-01 06:20:00,6,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.90253377013588,-77.05011429462617,vehicle,minor_or_property,2026,2026-03-01 08:17:00,5,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.90192694143246,-77.0483802573267,vehicle,minor_or_property,2026,2026-02-27 19:00:00,3,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.89538432921228,-77.02938058771117,vehicle,minor_or_property,2026,2026-02-28 19:50:00,12,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.90118525233063,-77.04346308116831,vehicle,minor_or_property,2026,2026-03-03 13:50:00,6,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.893604610814826,-77.01962191599878,vehicle,minor_or_property,2026,2026-03-03 17:25:00,9,0,0,0,0,0,0,Ward 6,False,Rest of Corridor
38.89413671933712,-77.02811908512203,vehicle,minor_or_property,2026,2026-03-05 01:35:00,12,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89203978905553,-77.01402428363672,vehicle,minor_or_property,2026,2026-03-13 22:00:00,15,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89375769575656,-77.02349553089917,vehicle,minor_or_property,2026,2026-03-14 04:10:00,10,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89653320700657,-77.03196982203339,vehicle,minor_or_property,2026,2026-03-17 21:00:00,14,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89475694033399,-77.0281034794998,vehicle,minor_or_property,2026,2026-03-17 18:00:00,12,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89464381039959,-77.02669461074827,vehicle,minor_or_property,2026,2026-03-17 11:30:00,14,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89464381039959,-77.02669461074827,vehicle,minor_or_property,2026,2026-03-17 11:30:00,14,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89875198203422,-77.03881856038682,vehicle,minor_or_property,2026,2026-03-15 07:55:00,6,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.8962901071371,-77.0326540257865,vehicle,minor_or_property,2026,2026-03-18 17:05:00,14,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.905422363098914,-77.05702776163407,vehicle,minor_or_property,2026,2026-03-19 00:15:00,5,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.90359803556103,-77.05011394713314,vehicle,minor_or_property,2026,2026-03-19 00:50:00,5,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.89853583166179,-77.03947476408395,vehicle,minor_or_property,2026,2026-03-18 15:05:00,6,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.90281718117341,-77.04881863865708,vehicle,minor_or_property,2026,2026-03-23 19:50:00,5,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.89613339004325,-77.0296418573822,vehicle,minor_or_property,2026,2026-03-24 17:25:00,1,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89189219426773,-77.01626008996008,vehicle,minor_or_property,2026,2026-03-20 21:11:00,16,0,0,0,0,0,0,Ward 6,False,Rest of Corridor
38.89702888377953,-77.03196821127743,vehicle,minor_or_property,2026,2026-03-26 02:45:00,14,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.902795683240434,-77.0508758882482,vehicle,minor_or_property,2026,2026-03-28 04:00:00,6,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89466599053782,-77.02810888457023,vehicle,minor_or_property,2026,2026-03-28 21:20:00,12,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89203978905553,-77.01402428363672,vehicle,minor_or_property,2026,2026-03-27 22:00:00,15,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.89367478906318,-77.02319331874058,vehicle,minor_or_property,2026,2026-03-31 17:50:00,10,0,0,0,0,0,0,Ward 2,False,Rest of Corridor
38.90116704231444,-77.04490306913009,vehicle,minor_or_property,2026,2026-04-03 09:35:00,7,0,0,0,0,0,0,Ward 2,True,Impact Zone (17th-22nd St)
38.89393584648554,-77.02172080182773,vehicle,minor_or_property,2026,2026-04-04 20:48:00,9,0,0,0,0,0,0,Ward 6,False,Rest of Corridor
38.89297881937296,-77.02065472989676,vehicle,minor_or_property,2026,2026-04-04 21:29:00,9,0,0,0,0,0,0,Ward 6,False,Rest of Corridor
38.89189219426773,-77.01626008996008,vehicle,minor_or_property,2026,2026-04-05 03:12:00,16,0,0,0,0,0,0,Ward 6,False,Rest of Corridor
